CH1	CH2	CH3	CH4	CH5
-0.0029297	-0.002243	0.0634	0.0010529	-0.0028381
0.0018768	-0.010529	0.0044861	0.001236	0.0076447
0.0089264	-0.005722	-0.13655	-9.1553e-05	-0.0019226
0.0077362	0.0011444	-0.22348	-0.0043945	0.011673
0.011398	-0.0014648	-0.12758	4.5776e-05	0.0049438
0.017212	-0.0046692	-0.031311	0.0086517	0.0099335
0.023438	-0.0035248	-0.0059052	0.0041656	-0.0018768
0.021286	-0.0065002	0.076035	-4.5776e-05	0.0076447
0.017349	-0.0034332	0.074066	-0.0027924	0.0071869
0.010437	0.0035706	-0.012497	-0.0052643	0.00032043
0.0079193	-0.0059052	-0.12126	-0.0033417	0.0032501
0.0084229	-0.00059509	-0.1382	0.0029755	0.0016937
0.0103	-0.00041199	-0.039413	0.0032501	0.0040741
0.0074158	-0.0096588	0.047012	0.0070953	0.0072784
0.0071869	-0.0035248	0.081482	0.0037994	0.006134
0.011398	-0.0093842	0.078323	0.0038452	0.0029755
0.011261	-0.011765	0.11906	-0.00050354	0.0065002
0.010071	-0.0042572	0.15628	-4.5776e-05	0.0043488
0.0053558	-0.0026093	0.13033	-0.0031586	0.0087433
-0.0027466	-0.014832	0.10414	-0.0060883	0.0064545
-0.002655	-0.0066376	0.044952	-0.010117	0.0017853
-0.0084229	-0.0088806	0.0087433	0.0025177	0.0089264
-0.020187	-0.015518	-0.13312	0.010666	-0.0031586
-0.023621	-0.012314	-0.36227	0.0085602	-0.00064087
-0.030579	-0.019089	-0.26582	0.0035706	0.010757
-0.023438	-0.015289	-0.15445	0.0032501	0.0027924
-0.016479	-0.018814	-0.10661	-9.1553e-05	0.011948
-0.016068	-0.0064545	-0.019638	-0.0023804	0.00032043
-0.011719	-0.00050354	0.050766	-0.00013733	0.0089722
-0.011581	-0.0048065	0.11531	-0.0058594	-0.0007782
-0.019226	0.0063171	0.15294	-0.004715	-0.0044403
-0.017258	0.001236	0.16878	-0.0055389	0.0070496
-0.014145	-0.0087433	0.17812	-0.0063629	-0.0046692
-0.014282	-0.0035706	0.15999	-0.0048065	0.0078278
-0.0099335	-0.00737	0.1468	-0.0041656	0.0059967
-0.0095215	0.002243	0.070633	-4.5776e-05	-0.0036163
-0.0063629	0.0016937	-0.064682	-0.0043488	0.0087891
0.0012817	-0.012863	-0.13005	0.0011444	-0.0063629
0.0065002	0.0011444	-0.061661	0.0079651	0.0028839
0.0059967	-0.002243	0.069351	0.0043488	-0.0060883
0.008194	-0.0071869	-0.014969	0.0083771	0.002243
-0.0018768	0.0015106	-0.10222	0.0029755	-0.0018768
-0.0046692	-0.0036163	-0.14282	0.0037994	0.0058594
-0.0011444	-0.0019226	-0.1962	0.0055389	-0.0035706
0.0016479	-0.0026093	-0.18187	0.0013275	0.0061798
0.006958	-0.00032043	-0.17116	-0.002655	0.010391
0.0044403	-0.0012817	-0.088303	-0.0058594	0.00032043
0.0085602	-0.0053558	0.031265	0.0016022	0.0032501
0.019821	0.00022888	0.073563	-0.0015106	0.0055847
0.019684	-0.0017853	0.092056	0.00018311	0.0024719
0.015381	-0.0090637	0.1078	-0.0015106	0.0081024
0.014191	-0.0043945	0.11421	0.0009613	0.0027008
0.0075531	-0.0075989	0.042755	0.0046234	-0.0058136
0.0054932	-0.01442	-0.00027466	0.0017853	0.0072784
0.0018311	-0.0089264	0.053787	0.0021515	-0.0017853
0.0046692	-0.0079193	0.11888	-0.0011444	0.0091095
0.011398	0.0059509	0.17807	0.0020599	-0.002655
0.0079193	-0.0062714	0.20924	-0.00036621	0.0085144
0.005722	-0.0099335	0.14854	-0.00022888	-0.002243
0.0015106	-0.0084686	0.019958	0.006546	0.0097504
-0.0023346	-0.0075531	-0.13161	0.0050812	0.0045776
-0.011032	-0.002243	-0.17043	0.011902	0.003067
-0.010117	-0.014053	-0.31796	0.0080566	0.013275
-0.013504	-0.0016022	-0.37605	0.0078278	-0.00045776
-0.005127	-0.0055389	-0.19157	0.0032501	0.010117
-0.0010986	-0.015015	0.048294	-0.0064545	-0.0013733
0.00032043	-0.0039368	0.17473	-0.0041656	0.005722
0.00032043	0.0037994	0.22755	-0.0071869	0.0072784
0.0078278	-0.010483	0.12263	-0.0070496	0.00032043
0.0065918	0.00032043	0.011673	-0.010437	0.0043488
0.0059967	-0.0050354	-0.03717	0.0021515	-0.0020599
0.0018768	-0.013779	-0.056992	0.024857	0.0084686
0.0029297	-0.0069122	-0.088028	0.023758	0.0026093
-0.0011444	-0.0077362	-0.12172	0.01442	0.010483
0.00032043	-0.011856	-0.047745	-0.00036621	0.0059052
0.0027924	0.0034332	0.086105	-0.0046234	0.0049896
0.0052643	-0.0021973	0.11142	-0.013962	-0.0015106
0.0016937	-0.00737	0.1468	-0.011719	0.013412
-0.0011444	-0.0044403	0.20128	-0.0085602	0.0080109
-0.0013275	-0.0084686	0.20343	0.0009613	0.0039825
-0.0092468	-0.0084686	0.0075531	0.015152	0.010849
-0.0060425	-0.001236	-0.18059	0.0032501	-0.0026093
-0.0062256	-0.0070038	-0.19167	0.0025177	0.0074615
-0.0087891	-0.0052643	-0.12584	-0.0063171	0.0042114
-0.003891	-0.009201	-0.087021	-0.0051727	0.0032501
-0.0041656	-0.0082855	-0.094345	0.0009613	0.0044403
-0.0047607	-0.0074615	-0.098282	0.0045319	-0.0040741
-0.0023804	-0.0093384	-0.10158	-0.0040741	0.0048065
0.0022888	-0.0066833	-0.030762	-0.0063629	-0.0024261
0.006958	-0.0070038	0.049667	-0.0058594	0.0076447
0.016342	-0.0071869	0.089859	-0.0055389	0.0046234
0.029663	-0.0085144	0.085968	-0.00082397	0.00737
0.029846	-0.014877	0.019043	0.0032501	-0.0034332
0.026413	-0.0048981	-0.014694	0.0067291	0.0058136
0.022888	0.0017853	0.049667	0.013733	0.0045319
0.011353	-0.0084686	0.12502	0.010666	-0.00068665
-0.0024719	0.0018768	0.18269	0.002243	0.0086975
-0.0070038	0.0011444	0.20247	-0.0016937	-0.0011444
-0.0091095	-0.0075531	0.090134	0.0034332	-0.0011902
-0.0088348	-0.0015564	-0.16539	0.0017853	0.0077362
-0.017212	-0.0086517	-0.25841	0.0032501	-0.00068665
-0.017807	-0.015564	-0.15981	-0.0019226	0.011215
-0.014832	-0.0053101	-0.0066376	0.00032043	0.0035248
-0.0098877	0.0009613	0.063858	0.0025177	0.012909
0.0022888	-0.010574	0.077225	-0.0021515	-0.0015106
0.010254	0.00032043	0.071457	0.0013275	0.0056305
0.0074158	-0.002243	0.11897	-0.0012817	0.0025177
0.0044403	-0.0049896	0.051956	-0.0023346	0.0098419
-0.00041199	-0.0081024	-0.052414	0.0029755	0.00032043
-0.0053101	-0.0088806	-0.082855	0.0020142	0.0095673
-0.0044861	-0.005722	-0.13628	0.0035248	-0.0039825
-0.0079651	-0.017487	-0.14177	-0.00068665	0.0070038
-0.0049896	-0.0060883	-0.11563	0.0050812	-0.0062714
0.0070038	-0.0037994	-0.028473	0.0013275	0.0050812
0.0056763	-0.0103	0.031815	0.0016022	0.0010986
-0.0039825	-0.00022888	0.053329	0.00032043	0.0094757
-0.0081024	-0.0082397	0.033325	0.0061798	0.0049896
-0.010895	0.00032043	0.034653	0.0035248	-0.0026093
-0.008606	0.0042572	0.056534	0.0014191	0.0061798
-0.0085602	0.0041656	0.093887	-0.0013275	-0.0011444
-0.0076447	0.0031586	0.11874	-0.00013733	0.005722
-0.0082397	-0.00737	0.075577	-0.00050354	0.0072784
-0.0054016	-0.0028381	0.048935	-0.0037079	-0.0070038
